,person,project,time_start,time_end,duration
400,Frodo Baggins,Project b,2012-01-01T17:19:56Z,2012-01-01T18:04:56Z,1
401,Frodo Baggins,Project b,2012-01-01T20:43:49Z,2012-01-01T23:38:49Z,3
402,Frodo Baggins,Project b,2012-01-03T11:24:56Z,2012-01-03T15:44:56Z,5
403,Frodo Baggins,Project b,2012-01-06T01:32:38Z,2012-01-06T03:47:38Z,3
404,Frodo Baggins,Project b,2012-01-07T19:48:12Z,2012-01-07T23:13:12Z,4
405,Frodo Baggins,Project b,2012-01-08T04:44:44Z,2012-01-08T05:54:44Z,2
406,Frodo Baggins,Project b,2012-01-09T22:15:49Z,2012-01-10T02:13:49Z,4
407,Frodo Baggins,Project b,2012-01-10T08:48:27Z,2012-01-10T11:34:27Z,3
408,Frodo Baggins,Project b,2012-01-16T19:55:42Z,2012-01-16T23:48:42Z,4
409,Frodo Baggins,Project b,2012-01-18T12:17:52Z,2012-01-18T14:41:52Z,3
410,Frodo Baggins,Project a,2012-01-21T06:02:23Z,2012-01-21T07:53:23Z,2
411,Frodo Baggins,Project a,2012-01-24T22:53:17Z,2012-01-25T00:43:17Z,2
412,Frodo Baggins,Project b,2012-01-25T02:49:21Z,2012-01-25T03:42:21Z,1
413,Frodo Baggins,Project b,2012-01-31T08:43:39Z,2012-01-31T10:24:39Z,2
414,Frodo Baggins,Project b,2012-01-31T14:07:42Z,2012-01-31T16:01:42Z,2
415,Frodo Baggins,Project b,2012-01-31T23:52:12Z,2012-02-01T02:18:12Z,3
416,Frodo Baggins,Project b,2012-02-08T22:03:40Z,2012-02-09T00:18:40Z,3
417,Frodo Baggins,Project a,2012-02-09T02:53:21Z,2012-02-09T05:08:21Z,3
418,Frodo Baggins,Project b,2012-02-17T14:56:28Z,2012-02-17T19:26:28Z,5
419,Frodo Baggins,Project b,2012-02-18T02:29:31Z,2012-02-18T05:49:31Z,4
420,Frodo Baggins,Project b,2012-02-19T17:53:33Z,2012-02-19T19:28:33Z,2
421,Frodo Baggins,Project b,2012-03-01T18:36:53Z,2012-03-01T19:38:53Z,2
422,Frodo Baggins,Project b,2012-03-05T20:15:24Z,2012-03-06T00:15:24Z,4
423,Frodo Baggins,Project b,2012-03-06T05:59:08Z,2012-03-06T07:05:08Z,2
424,Frodo Baggins,Project b,2012-03-06T10:42:12Z,2012-03-06T12:41:12Z,2
425,Frodo Baggins,Project b,2012-03-10T11:57:09Z,2012-03-10T13:26:09Z,2
426,Frodo Baggins,Project b,2012-03-10T19:39:04Z,2012-03-10T20:13:04Z,1
427,Frodo Baggins,Project b,2012-03-16T22:57:48Z,2012-03-17T00:13:48Z,2
428,Frodo Baggins,Project d,2012-03-17T01:50:44Z,2012-03-17T02:45:44Z,1
429,Frodo Baggins,Project b,2012-03-19T04:30:41Z,2012-03-19T05:38:41Z,2
430,Frodo Baggins,Project b,2012-03-19T06:55:39Z,2012-03-19T10:00:39Z,4
431,Frodo Baggins,Project b,2012-03-20T22:37:32Z,2012-03-20T22:38:32Z,1
432,Frodo Baggins,Project b,2012-03-21T06:31:34Z,2012-03-21T06:41:34Z,1
433,Frodo Baggins,Project b,2012-03-23T10:35:39Z,2012-03-23T13:52:39Z,4
434,Frodo Baggins,Project b,2012-03-25T10:41:08Z,2012-03-25T11:15:08Z,1
435,Frodo Baggins,Project b,2012-03-31T13:14:31Z,2012-03-31T17:43:31Z,5
436,Frodo Baggins,Project b,2012-04-01T00:16:10Z,2012-04-01T02:50:10Z,3
437,Frodo Baggins,Project b,2012-04-02T16:55:12Z,2012-04-02T19:12:12Z,3
438,Frodo Baggins,Project b,2012-04-02T21:48:51Z,2012-04-02T23:57:51Z,3
439,Frodo Baggins,Project b,2012-04-05T08:31:45Z,2012-04-05T12:20:45Z,4
440,Frodo Baggins,Project b,2012-04-06T23:42:43Z,2012-04-07T00:31:43Z,1
441,Frodo Baggins,Project b,2012-04-07T10:07:01Z,2012-04-07T11:30:01Z,2
442,Frodo Baggins,Project b,2012-04-07T14:14:02Z,2012-04-07T14:30:02Z,1
443,Frodo Baggins,Project b,2012-04-09T08:13:22Z,2012-04-09T10:26:22Z,3
444,Frodo Baggins,Project b,2012-04-09T14:21:51Z,2012-04-09T15:21:51Z,1
445,Frodo Baggins,Project b,2012-04-15T18:31:18Z,2012-04-15T20:27:18Z,2
446,Frodo Baggins,Project b,2012-04-16T00:51:40Z,2012-04-16T04:46:40Z,4
447,Frodo Baggins,Project b,2012-04-18T16:40:57Z,2012-04-18T17:04:57Z,1
448,Frodo Baggins,Project b,2012-04-20T07:38:37Z,2012-04-20T09:21:37Z,2
449,Frodo Baggins,Project b,2012-04-22T07:58:55Z,2012-04-22T08:33:55Z,1
450,Frodo Baggins,Project b,2012-04-22T09:15:24Z,2012-04-22T09:17:24Z,1
451,Frodo Baggins,Project b,2012-04-22T11:26:03Z,2012-04-22T12:46:03Z,2
452,Frodo Baggins,Project b,2012-04-22T14:16:38Z,2012-04-22T15:44:38Z,2
453,Frodo Baggins,Project b,2012-04-22T17:25:30Z,2012-04-22T17:47:30Z,1
454,Frodo Baggins,Project b,2012-04-24T04:34:45Z,2012-04-24T04:50:45Z,1
455,Frodo Baggins,Project b,2012-04-24T05:09:07Z,2012-04-24T06:19:07Z,2
